Time,CO2
0.241101066,0.000364432
0.292343188,0.000463507
0.349634043,0.000628019
0.400888459,0.000759747
0.461191388,0.000924325
0.518482243,0.001088838
0.569748953,0.001253219
0.627027514,0.001385078
0.678331107,0.001647419
0.738609447,0.001746691
0.798912375,0.001911269
0.850179085,0.00207565
0.907445352,0.002174856
0.967735987,0.002306781
1.021990181,0.002405921
