Time,HCO_mol/cm^3
4.7777E-06,1.84E-09
9.37546E-06,1.84E-09
1.5116E-05,1.52E-09
1.94217E-05,1.29E-09
2.50191E-05,1.00E-09
2.94705E-05,8.72E-10
3.50714E-05,7.45E-10
4.06729E-05,6.51E-10
4.62737E-05,5.23E-10
5.00081E-05,4.60E-10
