Temperature,CH3OH_ppm,W
600,2917.870731,0.447213595
625,2854.037799,0.447213595
650,2948.355547,0.447213595
675,2979.416136,0.447213595
700,1081.063312,0.447213595
725,10,1.00E-10
750,10,1.00E-10
775,10,1.00E-10
800,10,1.00E-10
825,10,1.00E-10
850,10,1.00E-10
875,10,1.00E-10
900,10,1.00E-10
