Time,O_mol/cm^3
6.97051E-05,5.1446E-13
0.000171582,7.63895E-13
0.000310992,1.01333E-12
0.000466488,1.32512E-12
0.000718499,1.76164E-12
0.00091689,2.13579E-12
0.001142091,2.63466E-12
0.001367292,3.07117E-12
0.001587131,3.44532E-12
0.001780161,4.00655E-12
