Time,CO_mol/cm^3
0.000028289753889580184, 1.0927152317880849e-9
0.0000527797031976817, 2.284768211920532e-9
0.00007914450113994135, 3.6754966887417304e-9
0.00010796455742715652, 5.860927152317884e-9
0.00015375846604811973, 8.642384105960267e-9
0.0001857478098928539, 1.0629139072847686e-8
0.000219586948715165, 1.3112582781456956e-8
0.00024965968783143905, 1.5397350993377484e-8
0.00028104356830879474, 1.7086092715231793e-8
0.00031302456093466847, 1.9172185430463577e-8
0.0003488554654551833, 2.04635761589404e-8
0.00039416082777281357, 2.1556291390728478e-8
0.00042878080555857137, 2.2251655629139074e-8
0.0004589704617388909, 2.3145695364238414e-8
0.0004904796104991525, 2.3344370860927152e-8
