Time,H_mol/cm^3,Relative_Uncertainty,W
1.17544E-05,1.70704E-13,.05,1e-10
2.47774E-05,4.69169E-13,.05,1e-10
3.3604E-05,7.24914E-13,.05,1e-10
4.79016E-05,1.22209E-12,.05,.17
7.43909E-05,2.10285E-12,.05,.17
0.000119817,3.80734E-12,.05,.17
0.000153036,4.92957E-12,.05,.17
0.000174885,5.48378E-12,.05,.17
0.000192524,5.82498E-12,.05,.17
0.0002215,6.36525E-12,.05,.17
0.00025046,6.70686E-12,.05,.17
0.000287411,7.34675E-12,.05,.17
0.000314692,7.6741E-12,.05,.17
0.000340284,7.85948E-12,.05,.17
0.000361688,8.10148E-12,.05,.17
0.000380136,8.08795E-12,.05,.17
