Time,H_ppm,Relative_Uncertainty,W
3.144241473228233e-13,0.6809999992735747,0.1,0.014366570530687186
3.1445558973755558e-09,0.6809927350999466,0.1,0.014366570530687186
3.4586970629657884e-08,0.6809200985298185,0.1,0.014366570530687186
8.35613573095726e-08,0.6808069750103773,0.1,0.014366570530687186
1.6733972469468186e-07,0.6806135023004448,0.1,0.014366570530687186
3.1165274703567975e-07,0.6802803626831704,0.1,0.014366570530687186
5.619872729005599e-07,0.6797028635298746,0.1,0.014366570530687186
1.0039028417758892e-06,0.678684599612087,0.1,0.014366570530687186
1.8721251619632765e-06,0.6766884752538211,0.1,0.014366570530687186
3.2532354542481253e-06,0.6735252544707208,0.1,0.014366570530687186
4.634345746532975e-06,0.6703768191713038,0.1,0.014366570530687186
6.015456038817824e-06,0.6672431038185966,0.1,0.014366570530687186
7.3965663311026735e-06,0.6641240411491558,0.1,0.014366570530687186
8.960014983074794e-06,0.6606107984450739,0.1,0.014366570530687186
1.0523463635046917e-05,0.6571161578682356,0.1,0.014366570530687186
1.208691228701904e-05,0.6536400162301664,0.1,0.014366570530687186
1.4765777662754367e-05,0.6477265968231433,0.1,0.014366570530687186
1.7444643038489695e-05,0.6418667048980226,0.1,0.014366570530687186
2.0123508414225024e-05,0.6360598581271779,0.1,0.014366570530687186
2.280237378996035e-05,0.6303055804961035,0.1,0.014366570530687186
2.6938792656171384e-05,0.621522600399312,0.1,0.014366570530687186
3.107521152238242e-05,0.6128621164145995,0.1,0.014366570530687186
3.521163038859345e-05,0.6043224314101178,0.1,0.014366570530687186
4.3546177770462264e-05,0.5874758207048373,0.1,0.014366570530687186
5.188072515233108e-05,0.5710994819062281,0.1,0.014366570530687186
6.021527253419989e-05,0.5551803424430514,0.1,0.014366570530687186
6.85498199160687e-05,0.5397057144281885,0.1,0.014366570530687186
7.688436729793751e-05,0.5246632773937309,0.1,0.014366570530687186
8.521891467980633e-05,0.5100410467099696,0.1,0.014366570530687186
9.355346206167514e-05,0.4958273575131559,0.1,0.014366570530687186
0.00010188800944354395,0.48201086017101935,0.1,0.014366570530687186
0.00011556286607759238,0.46017310577937326,0.1,0.014366570530687186
0.0001292377227116408,0.4393280050800625,0.1,0.014366570530687186
0.00014291257934568924,0.41943067188865246,0.1,0.014366570530687186
0.00015658743597973766,0.4004382300027517,0.1,0.014366570530687186
0.00017026229261378608,0.382309719978181,0.1,0.014366570530687186
0.0001839371492478345,0.3650060167293022,0.1,0.014366570530687186
0.00019761200588188293,0.34848975141152433,0.1,0.014366570530687186
0.00021128686251593135,0.3327252348223365,0.1,0.014366570530687186
0.00022496171914997978,0.3176783828285505,0.1,0.014366570530687186
0.00024790884642144023,0.2939525130824081,0.1,0.014366570530687186
0.00026388514410379167,0.27849633726536,0.1,0.014366570530687186
0.0002798614417861431,0.263859564824138,0.1,0.014366570530687186
0.00029583773946849454,0.24999886722011702,0.1,0.014366570530687186
0.000311814037150846,0.23687319458013079,0.1,0.014366570530687186
0.0003277903348331974,0.22444367591009076,0.1,0.014366570530687186
0.00034376663251554885,0.21267349345319775,0.1,0.014366570530687186
0.0003597429301979003,0.20152776066597,0.1,0.014366570530687186
0.0003864354979090799,0.1842096988135551,0.1,0.014366570530687186
0.00041312806562025946,0.16839973103641373,0.1,0.014366570530687186
0.00043982063333143905,0.15396675363456772,0.1,0.014366570530687186
