Time,O_ppm,W
1.413013557031885e-07,0.002341012079127692,0.016687539144058627
1.8101249353212256e-07,0.002994530921897078,0.016687539144058627
2.207236313610566e-07,0.0036461310712633806,0.016687539144058627
2.6043476918999065e-07,0.004295818321038832,0.016687539144058627
3.001459070189247e-07,0.00494359840754586,0.016687539144058627
3.787022985245987e-07,0.006219437935988206,0.016687539144058627
5.241672846548247e-07,0.00856244243991377,0.016687539144058627
6.171731476900592e-07,0.010047319447804693,0.016687539144058627
7.101790107252938e-07,0.01152200879975121,0.016687539144058627
8.031848737605283e-07,0.012986580116953184,0.016687539144058627
8.961907367957628e-07,0.014441102663870465,0.016687539144058627
1.0672705920957888e-06,0.0170906153134028,0.016687539144058627
1.2383504473958147e-06,0.019706785746197622,0.016687539144058627
1.4094303026958406e-06,0.022290034043758233,0.016687539144058627
1.6742260693820839e-06,0.02622441314690899,0.016687539144058627
1.939021836068327e-06,0.030082426917687633,0.016687539144058627
2.2038176027545705e-06,0.033865558102519025,0.016687539144058627
2.468613369440814e-06,0.03757526096622055,0.016687539144058627
2.733409136127057e-06,0.041212962062097326,0.016687539144058627
2.9982049028133004e-06,0.04478006026352314,0.016687539144058627
3.2630006694995437e-06,0.04827792693641254,0.016687539144058627
3.692511937094258e-06,0.05380785065491468,0.016687539144058627
4.122023204688972e-06,0.05916474533577844,0.016687539144058627
4.551534472283686e-06,0.06435402805934122,0.016687539144058627
4.9810457398784e-06,0.0693809463119637,0.016687539144058627
5.4105570074731136e-06,0.07425058342198862,0.016687539144058627
5.8400682750678274e-06,0.07896786346800751,0.016687539144058627
6.269579542662541e-06,0.08353755612372324,0.016687539144058627
6.801287110217724e-06,0.08899699919110225,0.016687539144058627
7.332994677772907e-06,0.09424579548294056,0.016687539144058627
7.86470224532809e-06,0.09929207644486848,0.016687539144058627
8.396409812883273e-06,0.10414365984632987,0.016687539144058627
9.344353441167728e-06,0.11233355550253725,0.016687539144058627
1.0022831749844742e-05,0.11785248638786869,0.016687539144058627
1.0701310058521756e-05,0.12310118840043972,0.016687539144058627
1.137978836719877e-05,0.12809289788881958,0.016687539144058627
1.2058266675875784e-05,0.13284020225694512,0.016687539144058627
1.3152059248181486e-05,0.1400089689342237,0.016687539144058627
1.3880290787772524e-05,0.14447004810642994,0.016687539144058627
1.4608522327363563e-05,0.1486971298710603,0.016687539144058627
1.53367538669546e-05,0.1527024909543984,0.016687539144058627
1.606498540654564e-05,0.15649776377579863,0.016687539144058627
1.6793216946136677e-05,0.16009397096344238,0.016687539144058627
1.7521448485727716e-05,0.16350155679793116,0.016687539144058627
1.8249680025318754e-05,0.16673041700625804,0.016687539144058627
1.8977911564909793e-05,0.16978992763748615,0.016687539144058627
1.9706143104500832e-05,0.1726889726897728,0.016687539144058627
2.043437464409187e-05,0.1754359700660419,0.016687539144058627
2.116260618368291e-05,0.17803889593529848,0.016687539144058627
2.1890837723273948e-05,0.1805053078279785,0.016687539144058627
2.2619069262864986e-05,0.18284236663955142,0.016687539144058627
2.3347300802456025e-05,0.18505685752013515,0.016687539144058627
2.4075532342047064e-05,0.18715520962083754,0.016687539144058627
2.4803763881638102e-05,0.18914351476115596,0.016687539144058627
2.553199542122914e-05,0.19102754512090506,0.016687539144058627
2.626022696082018e-05,0.19281277002542668,0.016687539144058627
2.6988458500411218e-05,0.19450437185530853,0.016687539144058627
2.7716690040002257e-05,0.1961072611109834,0.016687539144058627
2.8444921579593296e-05,0.19762609067859,0.016687539144058627
2.9173153119184334e-05,0.19906526934795735,0.016687539144058627
2.9901384658775373e-05,0.20042897462478917,0.016687539144058627
3.062961619836641e-05,0.2017211648708261,0.016687539144058627
