Temp,k_original,,Temp_optimized,k_optimized,,,Baldwin_and_Walker_T,Baldwin_and_Walker_k,,,Temp_Kyser,k_Kyser,,Temp_Srindharan,k_Sridharan,,Baldwin_and_Walker_T_reinturp,Baldwin_and_Walker_k_reinturp
326,4.46557E+13,,326,4.32646E+13,,,,,,,,,,,,,,
327,4.46695E+13,,327,4.33128E+13,,,,,,,,,,,,,,
328,4.46834E+13,,328,4.33609E+13,,,,,,,,,,,,,,
329,4.46973E+13,,329,4.34088E+13,,,,,,,,,,,,,,
330,4.47112E+13,,330,4.34566E+13,,,,,,,,,,,,,,
331,4.47252E+13,,331,4.35043E+13,,,,,,,,,,,,,,
332,4.47392E+13,,332,4.35519E+13,,,,,,,,,,,,,,
333,4.47532E+13,,333,4.35994E+13,,,,,,,,,,,,,,
334,4.47673E+13,,334,4.36468E+13,,,,,,,,,,,,,,
335,4.47814E+13,,335,4.3694E+13,,,,,,,,,,,,,,
336,4.47956E+13,,336,4.37411E+13,,,,,,,,,,,,,,
337,4.48098E+13,,337,4.37881E+13,,,,,,,,,,,,,,
338,4.4824E+13,,338,4.3835E+13,,,,,,,,,,,,,,
339,4.48383E+13,,339,4.38818E+13,,,,,,,,,,,,,,
340,4.48526E+13,,340,4.39285E+13,,,,,,,,,,,,,,
341,4.48669E+13,,341,4.3975E+13,,,,,,,,,,,,,,
342,4.48813E+13,,342,4.40215E+13,,,,,,,,,,,,,,
343,4.48957E+13,,343,4.40678E+13,,,,,,,,,,,,,,
344,4.49101E+13,,344,4.4114E+13,,,,,,,,,,,,,,
345,4.49246E+13,,345,4.41601E+13,,,,,,,,,,,,,,
346,4.49391E+13,,346,4.42061E+13,,,,,,,,,,,,,,
347,4.49536E+13,,347,4.4252E+13,,,,,,,,,,,,,,
348,4.49682E+13,,348,4.42978E+13,,,,,,,,,,,,,,
349,4.49828E+13,,349,4.43434E+13,,,,,,,,,,,,,,
350,4.49974E+13,,350,4.4389E+13,,,,,,,,,,,,,,
351,4.50121E+13,,351,4.44344E+13,,,,,,,,,,,,,,
352,4.50268E+13,,352,4.44798E+13,,,,,,,,,,,,,,
353,4.50415E+13,,353,4.4525E+13,,,,,,,,,,,,,,
354,4.50562E+13,,354,4.45702E+13,,,,,,,,,,,,,,
355,4.5071E+13,,355,4.46152E+13,,,,,,,,,,,,,,
356,4.50857E+13,,356,4.46601E+13,,,,,,,,,,,,,,
357,4.51006E+13,,357,4.47049E+13,,,,,,,,,,,,,,
358,4.51154E+13,,358,4.47497E+13,,,,,,,,,,,,,,
359,4.51303E+13,,359,4.47943E+13,,,,,,,,,,,,,,
360,4.51452E+13,,360,4.48388E+13,,,,,,,,,,,,,,
361,4.51601E+13,,361,4.48832E+13,,,,,,,,,,,,,,
362,4.5175E+13,,362,4.49275E+13,,,,,,,,,,,,,,
363,4.519E+13,,363,4.49717E+13,,,,,,,,,,,,,,
364,4.5205E+13,,364,4.50159E+13,,,,,,,,,,,,,,
365,4.522E+13,,365,4.50599E+13,,,,,,,,,,,,,,
366,4.5235E+13,,366,4.51038E+13,,,,,,,,,,,,,,
367,4.52501E+13,,367,4.51476E+13,,,,,,,,,,,,,,
368,4.52651E+13,,368,4.51913E+13,,,,,,,,,,,,,,
369,4.52802E+13,,369,4.5235E+13,,,,,,,,,,,,,,
370,4.52953E+13,,370,4.52785E+13,,,,,,,,,,,,,,
371,4.53105E+13,,371,4.53219E+13,,,,,,,,,,,,,,
372,4.53256E+13,,372,4.53653E+13,,,,,,,,,,,,,,
373,4.53408E+13,,373,4.54085E+13,,,,,,,,,,,,,,
