Time,NO2_ppm
0.379804199,32.40506039
0.41612643,33.00928654
0.46588926,32.24919751
0.538259073,31.03342126
0.642539581,31.48270002
0.755814818,31.3254639
0.887148178,30.56125514
1.027665089,30.85718863
1.158964118,29.78995131
1.317539152,29.47891216
1.430711396,28.41259033
1.575691341,28.10223781
1.716053762,27.03454274
1.847490116,27.17941969
1.97432611,26.71846838
2.114740028,26.10531616
2.250673746,25.94693567
2.38662463,25.94006946
2.536119106,25.47797378
