Time,H_ppm
8.58E-14,0.988999999
8.58E-10,0.988994091
9.44E-09,0.988935014
2.68E-08,0.988815535
5.90E-08,0.988593794
1.16E-07,0.988200018
2.17E-07,0.987510029
3.94E-07,0.986292491
7.33E-07,0.983964088
1.38E-06,0.979540076
2.03E-06,0.97513595
2.67E-06,0.970751628
3.32E-06,0.96638702
3.98E-06,0.961953436
4.64E-06,0.957540208
5.30E-06,0.953147235
6.87E-06,0.942823398
8.43E-06,0.932611417
9.99E-06,0.922510078
1.16E-05,0.91251819
1.31E-05,0.902634572
1.47E-05,0.892858057
1.62E-05,0.883187489
2.06E-05,0.856595977
2.34E-05,0.840525973
2.61E-05,0.824757664
2.88E-05,0.809285419
3.15E-05,0.794103708
3.42E-05,0.779207093
3.84E-05,0.757070246
4.25E-05,0.735563067
4.67E-05,0.714667699
5.44E-05,0.676928675
6.22E-05,0.641185828
6.75E-05,0.618222666
7.27E-05,0.596083664
7.80E-05,0.574739301
8.32E-05,0.554161119
8.84E-05,0.534321679
9.37E-05,0.515194523
9.89E-05,0.496754132
0.00010416,0.478975899
0.0001094,0.461836095
0.000118534,0.433414979
0.000127669,0.406749587
0.000136803,0.381731678
0.000145938,0.35825966
0.000155072,0.336238143
0.000164207,0.315577583
0.000173341,0.296193968
0.000182476,0.278008478
0.00019161,0.260947147
0.000209215,0.23098271
