Time,CH3_ppm,W
-5.08E-06,176.1797753,1.00E-09
-4.80E-06,316.1797753,1.00E-09
-4.50E-06,435.7303371,1.00E-09
-4.19E-06,518.3146067,1.00E-09
-3.51E-06,570.2247191,1.00E-09
-2.80E-06,577.3033708,1.00E-09
-2.43E-06,548.988764,1.00E-09
-2.07E-06,541.1235955,1.00E-09
-1.71E-06,517.5280899,1.00E-09
3.97E-06,508.8764045,1.00E-09
5.38E-06,523.0337079,1.00E-09
6.79E-06,542.6966292,0.043768811
8.22E-06,533.258427,0.043768811
1.00E-05,513.5955056,0.043768811
1.14E-05,485.2808989,0.043768811
1.25E-05,459.3258427,0.043768811
1.43E-05,430.2247191,0.043768811
1.57E-05,405.8426966,0.043768811
1.72E-05,395.6179775,0.043768811
1.89E-05,398.7640449,0.043768811
2.03E-05,383.8202247,0.043768811
2.18E-05,394.0449438,0.043768811
2.32E-05,412.9213483,0.043768811
2.49E-05,407.4157303,0.043768811
2.60E-05,434.9438202,0.043768811
2.74E-05,423.9325843,0.043768811
2.92E-05,431.011236,0.043768811
2.99E-05,453.8202247,0.043768811
3.20E-05,464.0449438,0.043768811
3.34E-05,451.4606742,0.043768811
3.52E-05,446.741573,0.043768811
3.59E-05,417.6404494,0.043768811
3.74E-05,397.9775281,0.043768811
3.95E-05,416.0674157,0.043768811
4.09E-05,397.9775281,0.043768811
4.23E-05,386.1797753,0.043768811
4.37E-05,405.8426966,0.043768811
4.55E-05,409.7752809,0.043768811
4.66E-05,397.1910112,0.043768811
4.84E-05,390.8988764,0.043768811
5.01E-05,388.5393258,0.043768811
5.16E-05,384.6067416,0.043768811
5.26E-05,373.5955056,0.043768811
5.44E-05,361.011236,0.043768811
5.62E-05,370.4494382,0.043768811
5.76E-05,382.247191,0.043768811
5.86E-05,386.9662921,0.043768811
6.04E-05,395.6179775,0.043768811
6.15E-05,382.247191,0.043768811
6.33E-05,368.0898876,0.043768811
6.43E-05,375.9550562,0.043768811
6.61E-05,375.9550562,0.043768811
6.75E-05,394.8314607,0.043768811
6.93E-05,402.6966292,0.043768811
7.03E-05,415.2808989,0.043768811
7.21E-05,422.3595506,0.043768811
7.35E-05,404.2696629,0.043768811
7.53E-05,394.8314607,0.043768811
7.60E-05,412.1348315,0.043768811
7.81E-05,411.3483146,0.043768811
7.96E-05,372.0224719,0.043768811
8.10E-05,385.3932584,0.043768811
8.24E-05,401.1235955,0.043768811
8.38E-05,410.5617978,0.043768811
8.56E-05,405.8426966,0.043768811
8.70E-05,375.9550562,0.043768811
8.84E-05,401.9101124,0.043768811
9.02E-05,386.1797753,0.043768811
9.09E-05,364.9438202,0.043768811
9.31E-05,358.6516854,0.043768811
9.59E-05,366.5168539,0.043768811
9.66E-05,347.6404494,0.043768811
9.87E-05,352.3595506,0.043768811
0.00010051,344.494382,0.043768811
0.000101561,369.6629213,0.043768811
0.000102972,383.8202247,0.043768811
0.000104388,389.3258427,0.043768811
0.000106515,390.1123596,0.043768811
0.000106856,416.0674157,0.043768811
0.00010899,405.0561798,0.043768811
0.000110047,417.6404494,0.043768811
0.000111815,427.0786517,0.043768811
0.000113595,413.7078652,0.043768811
0.000115026,388.5393258,0.043768811
0.000116455,367.3033708,0.043768811
0.000118243,338.2022472,0.043768811
0.000119672,317.752809,0.043768811
0.000120385,309.8876404,0.043768811
0.000122513,309.8876404,0.043768811
0.000123912,348.4269663,0.043768811
0.000124969,361.011236,0.043768811
0.000127095,364.1573034,0.043768811
0.000127796,381.4606742,0.043768811
0.000129922,384.6067416,0.043768811
0.000130998,359.4382022,0.043768811
0.000132768,365.7303371,0.043768811
0.000134186,367.3033708,0.043768811
0.000135261,344.494382,0.043768811
0.000137387,349.2134831,0.043768811
0.000138819,322.4719101,0.043768811
0.000140944,327.1910112,0.043768811
0.000142005,332.6966292,0.043768811
0.000142703,353.9325843,0.043768811
0.00014412,357.8651685,0.043768811
0.000145536,363.3707865,0.043768811
0.000147305,369.6629213,0.043768811
0.000149076,374.3820225,0.043768811
0.000150503,357.8651685,0.043768811
0.000151925,350.7865169,0.043768811
0.000153355,327.1910112,0.043768811
0.000154771,332.6966292,0.043768811
0.000156182,347.6404494,0.043768811
0.000157603,342.1348315,0.043768811
0.000160787,356.2921348,0.043768811
0.000162213,342.9213483,0.043768811
0.000163992,329.5505618,0.043768811
0.000165406,338.988764,0.043768811
0.00016682,347.6404494,0.043768811
0.000167881,353.9325843,0.043768811
0.000169654,353.1460674,0.043768811
0.000171422,362.5842697,0.043768811
0.000172857,330.3370787,0.043768811
0.000174283,316.1797753,0.043768811
0.000175699,320.1123596,0.043768811
0.000176418,301.2359551,0.043768811
0.000178546,300.4494382,0.043768811
0.00018103,297.3033708,0.043768811
0.000182798,306.741573,0.043768811
0.000183869,293.3707865,0.043768811
0.000185996,293.3707865,0.043768811
0.000187401,321.6853933,0.043768811
0.000188827,305.9550562,0.043768811
0.000190598,310.6741573,0.043768811
0.000192005,332.6966292,0.043768811
0.000193427,324.8314607,0.043768811
0.000194851,314.6067416,0.043768811
0.000196621,320.1123596,0.043768811
0.000197674,341.3483146,0.043768811
0.000199098,330.3370787,0.043768811
0.000200879,316.1797753,0.043768811
0.000202289,331.1235955,0.043768811
0.000203356,325.6179775,0.043768811
0.000205133,318.5393258,0.043768811
0.0002069,329.5505618,0.043768811
0.000208322,323.258427,0.043768811
0.000209402,291.011236,0.043768811
0.00021083,271.3483146,0.043768811
0.000212608,261.9101124,0.043768811
0.000214368,288.6516854,0.043768811
0.000215443,265.8426966,0.043768811
0.000217222,253.258427,0.043768811
0.000218988,268.2022472,0.043768811
0.000220033,304.3820225,0.043768811
0.000221446,315.3932584,0.043768811
0.000223207,338.988764,0.043768811
0.000224631,328.7640449,0.043768811
0.000226053,322.4719101,0.043768811
0.000227476,313.0337079,0.043768811
0.000228897,307.5280899,0.043768811
0.000232094,296.5168539,0.043768811
0.00023281,283.1460674,0.043768811
0.000234584,281.5730337,0.043768811
0.000236365,265.8426966,0.043768811
0.000237786,261.1235955,0.043768811
0.000239219,232.8089888,0.043768811
0.000240288,221.7977528,0.043768811
0.000242416,221.011236,0.043768811
0.000243466,247.752809,0.043768811
0.000245237,251.6853933,0.043768811
0.000246646,270.5617978,0.043768811
0.000248053,293.3707865,0.043768811
0.000249462,312.247191,0.043768811
0.00025124,303.5955056,0.043768811
0.000252661,298.0898876,0.043768811
0.000253734,280,0.043768811
0.000254804,268.2022472,0.043768811
0.000256927,276.0674157,0.043768811
0.000258697,283.1460674,0.043768811
0.000259744,316.1797753,0.043768811
0.000261514,320.8988764,0.043768811
0.000263295,306.741573,0.043768811
0.000264363,298.0898876,0.043768811
0.000266139,291.7977528,0.043768811
0.000267581,244.6067416,0.043768811
0.000268996,253.258427,0.043768811
0.000270435,212.3595506,0.043768811
0.000272203,221.7977528,0.043768811
0.000273258,238.3146067,0.043768811
0.000275036,228.8764045,0.043768811
0.000276441,256.4044944,0.043768811
0.000277867,241.4606742,0.043768811
0.000279283,246.1797753,0.043768811
0.000281064,230.4494382,0.043768811
0.000282115,254.8314607,0.043768811
0.000283529,264.2696629,0.043768811
0.000285298,272.1348315,0.043768811
0.000286725,254.8314607,0.043768811
0.000287771,291.011236,0.043768811
0.000289549,280.7865169,0.043768811
0.000291331,262.6966292,0.043768811
0.000292754,254.0449438,0.043768811
0.000293468,244.6067416,0.043768811
0.000295596,243.0337079,0.043768811
0.000297009,254.0449438,0.043768811
0.000298421,268.2022472,0.043768811
0.000300192,272.1348315,0.043768811
0.000301623,246.9662921,0.043768811
0.000302336,238.3146067,0.043768811
0.000304466,234.3820225,0.043768811
0.000305877,250.1123596,0.043768811
0.000308009,241.4606742,0.043768811
0.000308721,234.3820225,0.043768811
0.000310148,217.8651685,0.043768811
0.000311216,209.2134831,0.043768811
0.000312992,204.494382,0.043768811
0.000315121,202.1348315,0.043768811
0.000316179,213.1460674,0.043768811
0.000317952,213.1460674,0.043768811
0.000319009,226.5168539,0.043768811
0.000320057,257.9775281,0.043768811
0.000322187,252.4719101,0.043768811
0.000323956,261.9101124,0.043768811
0.00032539,229.6629213,0.043768811
0.000326816,215.505618,0.043768811
0.000327532,201.3483146,0.043768811
0.000329663,195.0561798,0.043768811
0.000331079,201.3483146,0.043768811
0.000332848,207.6404494,0.043768811
0.00033391,212.3595506,0.043768811
0.000335324,220.2247191,0.043768811
0.000337095,225.7303371,0.043768811
0.000337795,243.8202247,0.043768811
0.000339928,232.8089888,0.043768811
0.000341697,240.6741573,0.043768811
0.000342758,246.1797753,0.043768811
0.000343838,214.7191011,0.043768811
0.000345618,199.7752809,0.043768811
0.00034703,213.9325843,0.043768811
0.000348808,203.7078652,0.043768811
0.000350224,208.4269663,0.043768811
0.000351989,224.9438202,0.043768811
0.000352695,231.2359551,0.043768811
0.000354829,217.0786517,0.043768811
0.00035553,234.3820225,0.043768811
0.0003573,240.6741573,0.043768811
0.000359072,241.4606742,0.043768811
0.000360494,235.9550562,0.043768811
0.000361564,223.3707865,0.043768811
0.000363338,221.7977528,0.043768811
0.000365102,239.8876404,0.043768811
0.000366883,223.3707865,0.043768811
0.000367967,184.0449438,0.043768811
0.000369394,165.9550562,0.043768811
0.000370822,148.6516854,0.043768811
0.00037295,147.0786517,0.043768811
0.000374005,165.1685393,0.043768811
0.000375413,185.6179775,0.043768811
0.000376829,189.5505618,0.043768811
0.000377891,193.4831461,0.043768811
0.00037931,193.4831461,0.043768811
0.000380725,199.7752809,0.043768811
0.000382856,193.4831461,0.043768811
0.000384978,202.9213483,0.043768811
0.000387454,216.2921348,0.043768811
0.00038888,201.3483146,0.043768811
0.000389934,220.2247191,0.043768811
0.00039135,225.7303371,0.043768811
0.00039313,211.5730337,0.043768811
0.000394546,217.0786517,0.043768811
0.000395602,231.2359551,0.043768811
0.000398085,231.2359551,0.043768811
0.000399154,221.011236,0.043768811
