Time,O_ppm
3.03E-14,0.910998178
3.03E-10,0.910997338
3.33E-09,0.910988934
1.35E-08,0.910960837
3.55E-08,0.910899671
7.70E-08,0.910784561
1.51E-07,0.910578863
2.82E-07,0.910216786
5.16E-07,0.909569106
1.01E-06,0.908189997
1.51E-06,0.906812979
2.01E-06,0.90543805
2.51E-06,0.904065205
3.50E-06,0.901355178
4.48E-06,0.898653278
5.47E-06,0.895959479
6.45E-06,0.893273759
7.44E-06,0.890596091
9.37E-06,0.88537621
1.28E-05,0.876099967
1.51E-05,0.87001221
1.74E-05,0.863966763
1.97E-05,0.857963332
2.20E-05,0.852001628
2.57E-05,0.842365871
2.95E-05,0.832839115
3.32E-05,0.823420129
3.96E-05,0.80740664
4.61E-05,0.791704648
5.25E-05,0.776308098
5.90E-05,0.761211049
6.55E-05,0.746407674
7.53E-05,0.724388353
8.51E-05,0.703018787
9.50E-05,0.682279801
0.000104792,0.662152786
0.000114628,0.642619686
0.000135112,0.603769643
0.000155596,0.567269042
0.00017608,0.532975801
0.000196564,0.500756425
0.000217048,0.470485495
0.000237532,0.44204518
0.000258016,0.415324774
0.0002785,0.390220266
0.000298984,0.366633935
0.000319468,0.344473969
0.000339951,0.323654109
0.000360435,0.304093312
0.000380919,0.285715439
0.000401403,0.268448951
0.000421887,0.252226638
0.000442371,0.236985354
0.000462855,0.222665773
0.000483339,0.209212155
0.000503823,0.196572131
