Time,I_mol/cm^3
4.30144E-05,2.61862E-13
7.17415E-05,5.67498E-13
0.000109155,8.73071E-13
0.000153122,1.26598E-12
0.000207624,1.53866E-12
0.00025121,1.88788E-12
0.000335334,2.2368E-12
0.000398712,2.53126E-12
0.000490856,2.80367E-12
0.000608965,3.06496E-12
0.000708938,3.239E-12
0.000823485,3.42386E-12
0.000969311,3.54295E-12
0.001094296,3.59666E-12
0.001245723,3.69386E-12
0.001408066,3.71453E-12
0.001561912,3.7571E-12
