Time,O_ppm,W
1.47E-07,0.000867479,0.060858062
1.74E-07,0.001028825,0.060858062
2.27E-07,0.001338235,0.060858062
2.80E-07,0.001646437,0.060858062
3.33E-07,0.001953435,0.060858062
3.86E-07,0.002259235,0.060858062
4.66E-07,0.002723728,0.060858062
5.47E-07,0.003185457,0.060858062
6.81E-07,0.003945084,0.060858062
8.15E-07,0.004697228,0.060858062
9.48E-07,0.00544196,0.060858062
1.08E-06,0.006179356,0.060858062
1.30E-06,0.007387858,0.060858062
1.53E-06,0.008576652,0.060858062
1.75E-06,0.00974606,0.060858062
1.97E-06,0.010896398,0.060858062
2.33E-06,0.012704911,0.060858062
2.68E-06,0.014466289,0.060858062
3.04E-06,0.016181762,0.060858062
3.40E-06,0.017852525,0.060858062
3.76E-06,0.019479745,0.060858062
4.29E-06,0.021853201,0.060858062
4.83E-06,0.02413402,0.060858062
5.37E-06,0.026325816,0.060858062
5.91E-06,0.028432065,0.060858062
6.45E-06,0.030456106,0.060858062
6.98E-06,0.03240115,0.060858062
7.52E-06,0.034270279,0.060858062
8.34E-06,0.036989904,0.060858062
9.17E-06,0.039548814,0.060858062
1.06E-05,0.043525939,0.060858062
1.14E-05,0.045724264,0.060858062
1.22E-05,0.04779115,0.060858062
1.31E-05,0.049734457,0.060858062
1.39E-05,0.051561573,0.060858062
1.47E-05,0.053279445,0.060858062
1.56E-05,0.054894608,0.060858062
1.64E-05,0.056413201,0.060858062
1.72E-05,0.057841,0.060858062
1.81E-05,0.059183432,0.060858062
1.89E-05,0.060445603,0.060858062
1.97E-05,0.061632311,0.060858062
2.06E-05,0.062748069,0.060858062
2.14E-05,0.063797118,0.060858062
2.22E-05,0.064783447,0.060858062
