Time,CO_ppm
1.71303E-05,68.88967269
2.7672E-05,106.3977609
4.08492E-05,154.3227326
5.7101E-05,206.4284645
6.76428E-05,241.85683
8.25769E-05,283.5548135
9.44363E-05,308.5937004
0.000108492,346.1261485
0.000125622,379.5204661
0.000141435,408.7462033
0.00015593,435.8830828
0.000172182,458.8726969
0.000187994,481.859266
0.000206442,504.864105
0.000227965,540.3685951
0.000245974,559.2109437
0.000263543,575.9705246
0.000278477,586.4726675
